IP,USUARIO,FECHA,METODO,CODIGORESPUESTA,TAMAOBJETO
173236172182,0,2052021121157,1,404,17397
14476103165,0,2052021121240,2,200,0
46183117139,0,2052021121239,1,200,8165
46183117139,0,2052021121241,2,200,8602
46183117139,0,2052021121241,2,200,413
14476103165,0,2052021122107,2,200,0
3412554204,0,2052021122107,1,200,8165
3412554204,0,2052021122108,2,200,8602
3412554204,0,2052021122109,2,200,413
14476103165,0,2052021122942,2,200,0
1679985204,0,2052021122941,1,200,8165
1679985204,0,2052021122942,2,200,8602
1679985204,0,2052021122948,2,200,413
14476103165,0,2052021123806,2,200,0
1678675216,0,2052021123806,1,200,8165
1678675216,0,2052021123807,2,200,8602
1678675216,0,2052021123807,2,200,413
14476103165,0,2052021124709,2,200,0
107180103185,0,2052021124708,1,200,8165
107180103185,0,2052021124710,2,200,8602
107180103185,0,2052021124710,2,200,413
14476103165,0,2052021124848,2,200,0
185191124151,0,2052021124848,2,200,415
1989848175,0,2052021124848,2,200,415
14476103165,0,2052021125703,2,200,0
68183192217,0,2052021125703,1,200,8165
68183192217,0,2052021125707,2,200,8602
68183192217,0,2052021125709,2,200,413
14476103165,0,2052021130517,2,200,0
91121145204,0,2052021130516,1,200,8165
91121145204,0,2052021130517,2,200,8602
91121145204,0,2052021130518,2,200,413
14476103165,0,2052021131454,2,200,0
10213012357,0,2052021131454,1,200,8165
10213012357,0,2052021131455,2,200,8602
10213012357,0,2052021131456,2,200,413
14476103165,0,2052021132357,2,200,0
1042002893,0,2052021132356,1,200,8165
1042002893,0,2052021132357,2,200,8602
1042002893,0,2052021132358,2,200,413
14476103165,0,2052021133404,2,200,0
103122106234,0,2052021133404,1,200,8165
103122106234,0,2052021133405,2,200,8602
103122106234,0,2052021133406,2,200,413
14476103165,0,2052021134323,2,200,0
93174123197,0,2052021134322,1,200,8165
93174123197,0,2052021134323,2,200,8602
93174123197,0,2052021134324,2,200,413
14476103165,0,2052021135349,2,200,0
173212219223,0,2052021135349,1,200,8165
173212219223,0,2052021135350,2,200,8602
173212219223,0,2052021135350,2,200,413
14476103165,0,2052021140406,2,200,0
16011925373,0,2052021140405,1,200,8165
16011925373,0,2052021140407,2,200,8602
16011925373,0,2052021140408,2,200,413
14476103165,0,2052021141414,2,200,0
94235214,0,2052021141413,1,200,8165
94235214,0,2052021141414,2,200,8602
94235214,0,2052021141415,2,200,413
14476103165,0,2052021142202,2,200,0
19310630100,0,2052021142202,3,200,0
14476103165,0,2052021142502,2,200,0
14872210140,0,2052021142502,1,200,8165
14476103165,0,2052021142504,2,200,0
14872210140,0,2052021142503,2,200,8602
14872210140,0,2052021142505,2,200,413
14476103165,0,2052021143034,2,200,0
18522010114,0,2052021143034,1,405,42
14476103165,0,2052021144654,2,200,0
162214114242,0,2052021144654,1,200,8165
162214114242,0,2052021144700,2,200,8602
14476103165,0,2052021144707,2,200,0
162214114242,0,2052021144706,2,200,413
14476103165,0,2052021145705,2,200,0
6670138160,0,2052021145705,1,200,8165
6670138160,0,2052021145706,2,200,8602
6670138160,0,2052021145707,2,200,413
14476103165,0,2052021150931,2,200,0
134209147203,0,2052021150930,1,200,8165
134209147203,0,2052021150937,2,200,8602
134209147203,0,2052021150943,2,200,413
14476103165,0,2052021151944,2,200,0
10382588,0,2052021151943,1,200,8165
10382588,0,2052021151945,2,200,8602
10382588,0,2052021151946,2,200,413
14476103165,0,2052021153026,2,200,0
21124386210,0,2052021153025,1,200,8165
21124386210,0,2052021153027,2,200,8602
21124386210,0,2052021153029,2,200,413
14476103165,0,2052021154206,2,200,0
516844223,0,2052021154206,1,200,8165
516844223,0,2052021154214,2,200,8602
516844223,0,2052021154218,2,200,413
14476103165,0,2052021155244,2,200,0
20618989148,0,2052021155243,1,200,8165
20618989148,0,2052021155245,2,200,8602
20618989148,0,2052021155246,2,200,413
14476103165,0,2052021160337,2,200,0
192185130170,0,2052021160336,1,200,8165
192185130170,0,2052021160338,2,200,8602
192185130170,0,2052021160339,2,200,413
14476103165,0,2052021160455,2,200,0
